iter	Passed	Remaining
0	1692	3383904
1	1771	1769324
2	1866	1242512
3	1957	976553
4	2118	845184
5	2186	726535
6	2253	641536
7	2325	578931
8	2388	528463
9	2457	488996
10	2532	458005
11	2604	431549
12	2671	408275
13	2737	388275
14	2798	370338
15	2860	354656
16	2941	343071
17	3004	330880
18	3070	320091
19	3145	311410
20	3215	302993
21	3297	296493
22	3377	290346
23	3436	282948
24	3497	276269
25	3561	270382
26	3630	265293
27	3688	259796
28	3745	254551
29	3808	250110
30	3881	246554
31	3943	242548
32	4008	238901
33	4074	235573
34	4145	232742
35	4218	230131
36	4286	227423
37	4352	224747
38	4417	222131
39	4481	219595
40	4537	216797
41	4596	214285
42	4661	212160
43	4723	209971
44	4784	207842
45	4842	205721
46	4912	204134
47	4977	202436
48	5046	200949
49	5118	199611
50	5187	198235
51	5270	197438
52	5338	196109
53	5403	194737
54	5462	193179
55	5530	191973
56	5608	191174
57	5671	189894
58	5737	188744
59	5812	187945
60	5895	187403
61	5967	186544
62	6043	185813
63	6113	184945
64	6172	183751
65	6231	182600
66	6303	181852
67	6372	181066
68	6453	180591
69	6538	180289
70	6634	180265
71	6716	179858
72	6780	178998
73	6839	178000
74	6901	177135
75	6957	176138
76	7017	175264
77	7080	174461
78	7149	173851
79	7209	173025
80	7273	172308
81	7336	171607
82	7399	170905
83	7469	170386
84	7537	169825
85	7612	169411
86	7681	168896
87	7744	168275
88	7808	167661
89	7873	167096
90	7937	166502
91	7996	165831
92	8057	165212
93	8123	164713
94	8187	164188
95	8250	163640
96	8313	163099
97	8379	162622
98	8436	161997
99	8490	161320
100	8558	160924
101	8627	160542
102	8688	160012
103	8753	159587
104	8813	159055
105	8874	158563
106	8928	157961
107	8986	157433
108	9043	156891
109	9104	156430
110	9164	155966
111	9225	155519
112	9284	155048
113	9345	154602
114	9410	154251
115	9474	153884
116	9537	153503
117	9604	153178
118	9669	152845
119	9755	152835
120	9833	152703
121	9895	152323
122	9955	151918
123	10013	151497
124	10075	151136
125	10137	150773
126	10203	150487
127	10261	150069
128	10352	150147
129	10413	149795
130	10473	149421
131	10537	149116
132	10603	148846
133	10660	148446
134	10721	148115
135	10785	147831
136	10857	147649
137	10925	147419
138	10993	147180
139	11055	146877
140	11130	146755
141	11193	146464
142	11256	146174
143	11318	145885
144	11391	145732
145	11637	147783
146	11702	147515
147	11769	147275
148	11832	146999
149	11905	146835
150	11973	146611
151	12055	146571
152	12129	146429
153	12193	146161
154	12278	146155
155	12389	146449
156	12482	146525
157	12569	146537
158	12641	146366
159	12719	146278
160	12780	145988
161	12863	145949
162	12925	145666
163	12990	145435
164	13055	145187
165	13136	145139
166	13219	145097
167	13291	144936
168	13369	144851
169	13441	144691
170	13536	144781
171	13616	144717
172	13705	144744
173	13786	144677
174	13845	144383
175	13909	144147
176	13979	143976
177	14050	143823
178	14111	143560
179	14188	143457
180	14268	143390
181	14347	143319
182	14432	143298
183	14510	143215
184	14593	143172
185	14663	143004
186	14729	142804
187	14798	142634
188	14859	142386
189	14924	142174
190	14990	141975
191	15085	142051
192	15181	142143
193	15251	141984
194	15309	141713
195	15376	141523
196	15444	141349
197	15509	141153
198	15580	141006
199	15647	140826
200	15713	140635
201	15780	140457
202	15849	140306
203	15939	140329
204	16047	140512
205	16170	140824
206	16273	140960
207	16358	140931
208	16435	140842
209	16529	140892
210	16612	140848
211	16692	140785
212	17034	142912
213	17096	142685
214	17158	142453
215	17224	142261
216	17290	142065
217	17371	142002
218	17437	141805
219	17506	141642
220	17568	141421
221	17626	141167
222	17683	140911
223	17751	140742
224	17823	140604
225	17886	140398
226	17950	140200
227	18010	139977
228	18072	139764
229	18130	139526
230	18200	139377
231	18269	139225
232	18335	139047
233	18399	138863
234	18462	138662
235	18521	138438
236	18588	138273
237	18644	138030
238	18704	137815
239	18768	137636
240	18836	137480
241	18895	137263
242	18959	137086
243	19021	136890
244	19079	136674
245	19148	136530
246	19211	136344
247	19274	136167
248	19337	135984
249	19397	135784
250	19464	135630
251	19524	135430
252	19588	135259
253	19644	135039
254	19711	134885
255	19772	134698
256	19837	134541
257	19896	134342
258	19962	134189
259	20031	134054
260	20106	133968
261	20167	133783
262	20226	133589
263	20292	133438
264	20352	133252
265	20415	133085
266	20471	132876
267	20525	132649
268	20583	132456
269	20647	132298
270	20703	132091
271	20765	131922
272	20823	131728
273	20888	131582
274	20949	131410
275	21013	131256
276	21072	131073
277	21129	130879
278	21193	130732
279	21254	130560
280	21315	130395
281	21375	130223
282	21436	130057
283	21509	129967
284	21568	129789
285	21626	129606
286	21694	129484
287	21751	129299
288	21811	129130
289	21873	128975
290	21928	128780
291	21989	128620
292	22053	128480
293	22118	128350
294	22184	128216
295	22257	128132
296	22315	127959
297	22374	127792
298	22436	127641
299	22497	127484
300	22557	127326
301	22616	127163
302	22677	127007
303	22753	126938
304	22832	126888
305	22896	126754
306	22956	126595
307	23021	126467
308	23083	126325
309	23148	126194
310	23219	126103
311	23293	126025
312	23355	125879
313	23412	125714
314	23483	125619
315	23552	125514
316	23620	125406
317	23693	125321
318	23756	125188
319	23815	125032
320	23878	124899
321	23951	124815
322	24018	124704
323	24082	124577
324	24152	124480
325	24239	124470
326	24305	124353
327	24369	124225
328	24439	124130
329	24497	123973
330	24557	123825
331	24618	123686
332	24686	123578
333	24747	123443
334	24827	123395
335	24904	123334
336	24987	123308
337	25052	123189
338	25120	123081
339	25193	123005
340	25262	122907
341	25325	122777
342	25383	122626
343	25446	122497
344	25517	122409
345	25581	122289
346	25772	122772
347	25833	122635
348	25893	122491
349	25947	122323
350	26017	122230
351	26078	122094
352	26143	121977
353	26202	121832
354	26271	121735
355	26338	121631
356	26412	121556
